,Index,Year,Lit,Pop,Sat,Gender
69,Central America,2006,87.7,9076327.250000004,9076327.250000004,M
70,Central America,2007,90.8,9218756.625000004,9218756.625000004,M
71,Central America,2008,90.85,9364546.625,9364546.625,M
72,Central America,2009,90.25,9510725.124999994,9510725.124999994,M
73,Central America,2010,89.325,9655070.249999998,9655070.249999998,M
74,Central Asia,1974,,4026494.999999999,4026494.999999999,M
75,Central Asia,1975,,4115461.25,4115461.25,M
76,Central Asia,1976,,4204576.499999997,4204576.499999997,M
77,Central Asia,1977,,4294047.75,4294047.75,M
78,Central Asia,1978,,4384581.249999999,4384581.249999999,M
79,Central Asia,1979,,4477024.500000001,4477024.500000001,M
80,Central Asia,1980,,4571978.750000002,4571978.750000002,M
81,Central Asia,1981,,4669285.000000003,4669285.000000003,M
82,Central Asia,1982,,4768690.376452463,4768690.376452463,M
83,Central Asia,1983,,4870478.500000004,4870478.500000004,M
84,Central Asia,1984,,4974967.75,4974967.75,M
85,Central Asia,1985,,5082059.0,5082059.0,M
86,Central Asia,1986,,5191951.499999999,5191951.499999999,M
87,Central Asia,1987,,5303616.249999998,5303616.249999998,M
88,Central Asia,1988,98.94999999999999,5414197.000000001,5414197.000000001,M
89,Central Asia,1989,,5519943.999999998,5519943.999999998,M
90,Central Asia,1990,,5618059.000000002,5618059.000000002,M
91,Central Asia,1991,,5708110.499999996,5708110.499999996,M
92,Central Asia,1992,,5790596.75,5790596.75,M
93,Central Asia,1993,,5864964.250000003,5864964.250000003,M
94,Central Asia,1994,99.3,5930853.626938071,5930853.626938071,M
95,Central Asia,1995,,5988483.75,5988483.75,M
96,Central Asia,1996,,6037340.749999998,6037340.749999998,M
97,Central Asia,1997,,6078768.25,6078768.25,M
98,Central Asia,1998,99.8,6117254.0,6117254.0,M
99,Central Asia,1999,99.45,6158740.249999999,6158740.249999999,M
100,Central Asia,2000,,6207691.249999999,6207691.249999999,M
101,Central Asia,2001,,6266000.249999998,6266000.249999998,M
